hidden_layer_dim = 12
learning_rate = 1.5e-05
minibatch_size = 200
num_train_samples_per_sweep = 259308
num_test_samples = 2646
Label - Predict Diff = [12.0, 6.0, 12.0]

Label-Feature Diff = [13.0, 8.0, 8.0]
Label - Predict Diff = [9.0, 4.0, 8.0]

Label-Feature Diff = [23.0, 18.0, 2.0]
Label - Predict Diff = [16.0, 9.0, 16.0]

Label-Feature Diff = [15.0, 10.0, 6.0]
Label - Predict Diff = [10.0, 5.0, 10.0]

Label-Feature Diff = [8.0, 3.0, 13.0]
Label - Predict Diff = [5.0, 0.0, 4.0]

Label-Feature Diff = [7.0, 2.0, 14.0]
Label - Predict Diff = [4.0, 1.0, 3.0]

Label-Feature Diff = [10.0, 5.0, 11.0]
Label - Predict Diff = [7.0, 1.0, 6.0]

Label-Feature Diff = [14.0, 9.0, 7.0]
Label - Predict Diff = [10.0, 4.0, 9.0]

Label-Feature Diff = [14.0, 9.0, 7.0]
Label - Predict Diff = [10.0, 4.0, 9.0]

Label-Feature Diff = [19.0, 14.0, 2.0]
Label - Predict Diff = [13.0, 7.0, 13.0]

Label-Feature Diff = [15.0, 10.0, 6.0]
Label - Predict Diff = [10.0, 5.0, 10.0]

Label-Feature Diff = [9.0, 4.0, 12.0]
Label - Predict Diff = [6.0, 1.0, 5.0]

Label-Feature Diff = [7.0, 2.0, 14.0]
Label - Predict Diff = [4.0, 1.0, 3.0]

Label-Feature Diff = [7.0, 2.0, 14.0]
Label - Predict Diff = [4.0, 1.0, 3.0]

Label-Feature Diff = [13.0, 8.0, 8.0]
Label - Predict Diff = [9.0, 4.0, 8.0]

Label-Feature Diff = [12.0, 7.0, 9.0]
Label - Predict Diff = [8.0, 3.0, 7.0]

Label-Feature Diff = [2.0, 2.0, 19.0]
Label - Predict Diff = [4.0, 5.0, 1.0]

Label-Feature Diff = [1.0, 1.0, 18.0]
Label - Predict Diff = [3.0, 4.0, 0.0]

Label-Feature Diff = [2.0, 2.0, 15.0]
Label - Predict Diff = [1.0, 1.0, 2.0]

Label-Feature Diff = [4.0, 4.0, 13.0]
Label - Predict Diff = [1.0, 0.0, 3.0]

Label-Feature Diff = [2.0, 2.0, 15.0]
Label - Predict Diff = [1.0, 1.0, 2.0]

Label-Feature Diff = [1.0, 1.0, 18.0]
Label - Predict Diff = [3.0, 4.0, 0.0]

Label-Feature Diff = [3.0, 3.0, 20.0]
Label - Predict Diff = [5.0, 6.0, 2.0]

Label-Feature Diff = [2.0, 2.0, 19.0]
Label - Predict Diff = [4.0, 5.0, 1.0]

Label-Feature Diff = [3.0, 3.0, 20.0]
Label - Predict Diff = [5.0, 6.0, 2.0]

Label-Feature Diff = [0.0, 0.0, 17.0]
Label - Predict Diff = [3.0, 3.0, 0.0]

Label-Feature Diff = [3.0, 3.0, 14.0]
Label - Predict Diff = [0.0, 1.0, 3.0]

Label-Feature Diff = [3.0, 3.0, 14.0]
Label - Predict Diff = [0.0, 1.0, 3.0]

Label-Feature Diff = [0.0, 0.0, 17.0]
Label - Predict Diff = [3.0, 3.0, 0.0]

Label-Feature Diff = [1.0, 1.0, 18.0]
Label - Predict Diff = [3.0, 4.0, 0.0]

Label-Feature Diff = [1.0, 1.0, 18.0]
Label - Predict Diff = [3.0, 4.0, 0.0]

Label-Feature Diff = [5.0, 5.0, 22.0]
Label - Predict Diff = [7.0, 7.0, 3.0]

Label-Feature Diff = [1.0, 1.0, 18.0]
Label - Predict Diff = [3.0, 4.0, 0.0]

Label-Feature Diff = [3.0, 3.0, 14.0]
Label - Predict Diff = [0.0, 1.0, 3.0]

Label-Feature Diff = [4.0, 4.0, 13.0]
Label - Predict Diff = [1.0, 0.0, 3.0]

Label-Feature Diff = [2.0, 2.0, 15.0]
Label - Predict Diff = [1.0, 1.0, 2.0]

Label-Feature Diff = [1.0, 1.0, 16.0]
Label - Predict Diff = [2.0, 2.0, 1.0]

Label-Feature Diff = [1.0, 1.0, 18.0]
Label - Predict Diff = [3.0, 4.0, 0.0]

Label-Feature Diff = [7.0, 7.0, 24.0]
Label - Predict Diff = [8.0, 9.0, 5.0]

Label-Feature Diff = [2.0, 2.0, 19.0]
Label - Predict Diff = [4.0, 5.0, 1.0]

Label-Feature Diff = [3.0, 3.0, 14.0]
Label - Predict Diff = [0.0, 1.0, 3.0]

Label-Feature Diff = [5.0, 5.0, 12.0]
Label - Predict Diff = [1.0, 1.0, 4.0]

Label-Feature Diff = [4.0, 4.0, 13.0]
Label - Predict Diff = [1.0, 0.0, 3.0]

Label-Feature Diff = [3.0, 3.0, 14.0]
Label - Predict Diff = [0.0, 1.0, 3.0]

Label-Feature Diff = [3.0, 3.0, 20.0]
Label - Predict Diff = [5.0, 6.0, 2.0]

Label-Feature Diff = [5.0, 5.0, 12.0]
Label - Predict Diff = [1.0, 1.0, 4.0]

Label-Feature Diff = [4.0, 4.0, 13.0]
Label - Predict Diff = [1.0, 0.0, 3.0]

Label-Feature Diff = [2.0, 2.0, 15.0]
Label - Predict Diff = [1.0, 1.0, 2.0]

Label-Feature Diff = [1.0, 1.0, 16.0]
Label - Predict Diff = [2.0, 2.0, 1.0]

Label-Feature Diff = [1.0, 1.0, 16.0]
Label - Predict Diff = [2.0, 2.0, 1.0]

Label-Feature Diff = [1.0, 1.0, 16.0]
Label - Predict Diff = [2.0, 2.0, 1.0]

Label-Feature Diff = [3.0, 3.0, 20.0]
Label - Predict Diff = [5.0, 6.0, 2.0]

Label-Feature Diff = [4.0, 4.0, 13.0]
Label - Predict Diff = [1.0, 0.0, 3.0]

Label-Feature Diff = [3.0, 3.0, 14.0]
Label - Predict Diff = [0.0, 1.0, 3.0]

Label-Feature Diff = [1.0, 1.0, 16.0]
Label - Predict Diff = [2.0, 2.0, 1.0]

Label-Feature Diff = [0.0, 0.0, 17.0]
Label - Predict Diff = [3.0, 3.0, 0.0]

Label-Feature Diff = [0.0, 0.0, 17.0]
Label - Predict Diff = [3.0, 3.0, 0.0]

Label-Feature Diff = [0.0, 0.0, 17.0]
Label - Predict Diff = [3.0, 3.0, 0.0]

Label-Feature Diff = [3.0, 3.0, 20.0]
Label - Predict Diff = [5.0, 6.0, 2.0]

Label-Feature Diff = [2.0, 2.0, 15.0]
Label - Predict Diff = [1.0, 1.0, 2.0]

Label-Feature Diff = [1.0, 1.0, 16.0]
Label - Predict Diff = [2.0, 2.0, 1.0]

Label-Feature Diff = [0.0, 0.0, 17.0]
Label - Predict Diff = [3.0, 3.0, 0.0]

Label-Feature Diff = [1.0, 1.0, 18.0]
Label - Predict Diff = [3.0, 4.0, 0.0]

Label-Feature Diff = [1.0, 1.0, 18.0]
Label - Predict Diff = [3.0, 4.0, 0.0]

Label-Feature Diff = [1.0, 1.0, 18.0]
Label - Predict Diff = [3.0, 4.0, 0.0]

Label-Feature Diff = [11.0, 15.0, 21.0]
Label - Predict Diff = [9.0, 12.0, 13.0]

Label-Feature Diff = [19.0, 7.0, 13.0]
Label - Predict Diff = [2.0, 4.0, 5.0]

Label-Feature Diff = [12.0, 15.0, 19.0]
Label - Predict Diff = [9.0, 13.0, 12.0]

Label-Feature Diff = [6.0, 21.0, 25.0]
Label - Predict Diff = [13.0, 17.0, 17.0]

Label-Feature Diff = [4.0, 23.0, 27.0]
Label - Predict Diff = [15.0, 19.0, 19.0]

Label-Feature Diff = [7.0, 20.0, 24.0]
Label - Predict Diff = [13.0, 17.0, 16.0]

Label-Feature Diff = [8.0, 19.0, 23.0]
Label - Predict Diff = [12.0, 16.0, 16.0]

Label-Feature Diff = [3.0, 23.0, 29.0]
Label - Predict Diff = [15.0, 18.0, 20.0]

Label-Feature Diff = [11.0, 15.0, 21.0]
Label - Predict Diff = [9.0, 12.0, 13.0]

Label-Feature Diff = [12.0, 15.0, 19.0]
Label - Predict Diff = [9.0, 13.0, 12.0]

Label-Feature Diff = [9.0, 18.0, 22.0]
Label - Predict Diff = [11.0, 15.0, 15.0]

Label-Feature Diff = [8.0, 19.0, 23.0]
Label - Predict Diff = [12.0, 16.0, 16.0]

Label-Feature Diff = [9.0, 18.0, 22.0]
Label - Predict Diff = [11.0, 15.0, 15.0]

Label-Feature Diff = [7.0, 20.0, 24.0]
Label - Predict Diff = [13.0, 17.0, 16.0]

Label-Feature Diff = [2.0, 24.0, 30.0]
Label - Predict Diff = [16.0, 19.0, 21.0]

Label-Feature Diff = [2.0, 28.0, 34.0]
Label - Predict Diff = [19.0, 22.0, 24.0]

Label-Feature Diff = [16.0, 11.0, 15.0]
Label - Predict Diff = [6.0, 10.0, 8.0]

Label-Feature Diff = [15.0, 12.0, 16.0]
Label - Predict Diff = [7.0, 11.0, 9.0]

Label-Feature Diff = [15.0, 12.0, 16.0]
Label - Predict Diff = [7.0, 11.0, 9.0]

Label-Feature Diff = [15.0, 12.0, 16.0]
Label - Predict Diff = [7.0, 11.0, 9.0]

Label-Feature Diff = [10.0, 17.0, 21.0]
Label - Predict Diff = [10.0, 14.0, 14.0]

Label-Feature Diff = [0.0, 26.0, 32.0]
Label - Predict Diff = [17.0, 20.0, 23.0]

Label-Feature Diff = [8.0, 34.0, 40.0]
Label - Predict Diff = [25.0, 28.0, 29.0]

Label-Feature Diff = [6.0, 21.0, 25.0]
Label - Predict Diff = [13.0, 17.0, 17.0]

Label-Feature Diff = [11.0, 16.0, 20.0]
Label - Predict Diff = [10.0, 14.0, 13.0]

Label-Feature Diff = [11.0, 16.0, 20.0]
Label - Predict Diff = [10.0, 14.0, 13.0]

Label-Feature Diff = [6.0, 21.0, 25.0]
Label - Predict Diff = [13.0, 17.0, 17.0]

Label-Feature Diff = [3.0, 24.0, 28.0]
Label - Predict Diff = [16.0, 20.0, 20.0]

Label-Feature Diff = [1.0, 25.0, 31.0]
Label - Predict Diff = [17.0, 19.0, 22.0]

Label-Feature Diff = [6.0, 32.0, 38.0]
Label - Predict Diff = [23.0, 26.0, 28.0]

Label-Feature Diff = [8.0, 19.0, 23.0]
Label - Predict Diff = [12.0, 16.0, 16.0]

Label-Feature Diff = [12.0, 15.0, 19.0]
Label - Predict Diff = [9.0, 13.0, 12.0]

Label-Feature Diff = [11.0, 16.0, 20.0]
Label - Predict Diff = [10.0, 14.0, 13.0]

Label-Feature Diff = [5.0, 22.0, 26.0]
Label - Predict Diff = [14.0, 18.0, 18.0]

Label-Feature Diff = [2.0, 25.0, 29.0]
Label - Predict Diff = [17.0, 20.0, 21.0]

Label-Feature Diff = [9.0, 17.0, 23.0]
Label - Predict Diff = [11.0, 13.0, 15.0]

Label-Feature Diff = [4.0, 22.0, 28.0]
Label - Predict Diff = [14.0, 17.0, 19.0]

Label-Feature Diff = [11.0, 16.0, 20.0]
Label - Predict Diff = [10.0, 14.0, 13.0]

Label-Feature Diff = [14.0, 13.0, 17.0]
Label - Predict Diff = [7.0, 11.0, 10.0]

Label-Feature Diff = [12.0, 15.0, 19.0]
Label - Predict Diff = [9.0, 13.0, 12.0]

Label-Feature Diff = [5.0, 22.0, 26.0]
Label - Predict Diff = [14.0, 18.0, 18.0]

Label-Feature Diff = [2.0, 25.0, 29.0]
Label - Predict Diff = [17.0, 20.0, 21.0]

Label-Feature Diff = [11.0, 15.0, 21.0]
Label - Predict Diff = [9.0, 12.0, 13.0]

Label-Feature Diff = [8.0, 18.0, 24.0]
Label - Predict Diff = [11.0, 14.0, 16.0]

Label-Feature Diff = [12.0, 15.0, 19.0]
Label - Predict Diff = [9.0, 13.0, 12.0]

Label-Feature Diff = [15.0, 12.0, 16.0]
Label - Predict Diff = [7.0, 11.0, 9.0]

Label-Feature Diff = [13.0, 14.0, 18.0]
Label - Predict Diff = [8.0, 12.0, 11.0]

Label-Feature Diff = [6.0, 21.0, 25.0]
Label - Predict Diff = [13.0, 17.0, 17.0]

Label-Feature Diff = [2.0, 25.0, 29.0]
Label - Predict Diff = [17.0, 20.0, 21.0]

Label-Feature Diff = [26.0, 5.0, 2.0]
Label - Predict Diff = [9.0, 10.0, 7.0]

Label-Feature Diff = [25.0, 4.0, 3.0]
Label - Predict Diff = [8.0, 9.0, 6.0]

Label-Feature Diff = [29.0, 8.0, 1.0]
Label - Predict Diff = [11.0, 12.0, 10.0]

Label-Feature Diff = [27.0, 6.0, 1.0]
Label - Predict Diff = [10.0, 11.0, 8.0]

Label-Feature Diff = [25.0, 4.0, 3.0]
Label - Predict Diff = [8.0, 9.0, 6.0]

Label-Feature Diff = [25.0, 4.0, 3.0]
Label - Predict Diff = [8.0, 9.0, 6.0]

Label-Feature Diff = [25.0, 4.0, 3.0]
Label - Predict Diff = [8.0, 9.0, 6.0]

Label-Feature Diff = [26.0, 5.0, 2.0]
Label - Predict Diff = [9.0, 10.0, 7.0]

Label-Feature Diff = [26.0, 5.0, 2.0]
Label - Predict Diff = [9.0, 10.0, 7.0]

Label-Feature Diff = [28.0, 7.0, 0.0]
Label - Predict Diff = [10.0, 12.0, 9.0]

Label-Feature Diff = [27.0, 6.0, 1.0]
Label - Predict Diff = [10.0, 11.0, 8.0]

Label-Feature Diff = [26.0, 5.0, 2.0]
Label - Predict Diff = [9.0, 10.0, 7.0]

Label-Feature Diff = [27.0, 6.0, 1.0]
Label - Predict Diff = [10.0, 11.0, 8.0]

Label-Feature Diff = [27.0, 6.0, 1.0]
Label - Predict Diff = [10.0, 11.0, 8.0]

Label-Feature Diff = [26.0, 5.0, 2.0]
Label - Predict Diff = [9.0, 10.0, 7.0]

Label-Feature Diff = [26.0, 5.0, 2.0]
Label - Predict Diff = [9.0, 10.0, 7.0]

Label-Feature Diff = [27.0, 6.0, 1.0]
Label - Predict Diff = [10.0, 11.0, 8.0]

Label-Feature Diff = [27.0, 6.0, 1.0]
Label - Predict Diff = [10.0, 11.0, 8.0]

Label-Feature Diff = [28.0, 7.0, 0.0]
Label - Predict Diff = [10.0, 12.0, 9.0]

Label-Feature Diff = [30.0, 9.0, 2.0]
Label - Predict Diff = [12.0, 13.0, 11.0]

Label-Feature Diff = [30.0, 9.0, 2.0]
Label - Predict Diff = [12.0, 13.0, 11.0]

Label-Feature Diff = [26.0, 5.0, 2.0]
Label - Predict Diff = [9.0, 10.0, 7.0]

Label-Feature Diff = [26.0, 5.0, 2.0]
Label - Predict Diff = [9.0, 10.0, 7.0]

Label-Feature Diff = [25.0, 4.0, 3.0]
Label - Predict Diff = [8.0, 9.0, 6.0]

Label-Feature Diff = [27.0, 6.0, 1.0]
Label - Predict Diff = [10.0, 11.0, 8.0]

Label-Feature Diff = [29.0, 8.0, 1.0]
Label - Predict Diff = [11.0, 12.0, 10.0]

Label-Feature Diff = [32.0, 11.0, 4.0]
Label - Predict Diff = [14.0, 15.0, 13.0]

Label-Feature Diff = [32.0, 11.0, 4.0]
Label - Predict Diff = [14.0, 15.0, 13.0]

Label-Feature Diff = [26.0, 5.0, 2.0]
Label - Predict Diff = [9.0, 10.0, 7.0]

Label-Feature Diff = [26.0, 5.0, 2.0]
Label - Predict Diff = [9.0, 10.0, 7.0]

Label-Feature Diff = [24.0, 3.0, 4.0]
Label - Predict Diff = [7.0, 9.0, 5.0]

Label-Feature Diff = [26.0, 5.0, 2.0]
Label - Predict Diff = [9.0, 10.0, 7.0]

Label-Feature Diff = [29.0, 8.0, 1.0]
Label - Predict Diff = [11.0, 12.0, 10.0]

Label-Feature Diff = [32.0, 11.0, 4.0]
Label - Predict Diff = [14.0, 15.0, 13.0]

Label-Feature Diff = [33.0, 12.0, 5.0]
Label - Predict Diff = [15.0, 16.0, 15.0]

Label-Feature Diff = [25.0, 4.0, 3.0]
Label - Predict Diff = [8.0, 9.0, 6.0]

Label-Feature Diff = [25.0, 4.0, 3.0]
Label - Predict Diff = [8.0, 9.0, 6.0]

Label-Feature Diff = [23.0, 2.0, 5.0]
Label - Predict Diff = [7.0, 8.0, 4.0]

Label-Feature Diff = [24.0, 3.0, 4.0]
Label - Predict Diff = [7.0, 9.0, 5.0]

Label-Feature Diff = [27.0, 6.0, 1.0]
Label - Predict Diff = [10.0, 11.0, 8.0]

Label-Feature Diff = [30.0, 9.0, 2.0]
Label - Predict Diff = [12.0, 13.0, 11.0]

Label-Feature Diff = [32.0, 11.0, 4.0]
Label - Predict Diff = [14.0, 15.0, 13.0]

Label-Feature Diff = [25.0, 4.0, 3.0]
Label - Predict Diff = [8.0, 9.0, 6.0]

Label-Feature Diff = [24.0, 3.0, 4.0]
Label - Predict Diff = [7.0, 9.0, 5.0]

Label-Feature Diff = [23.0, 2.0, 5.0]
Label - Predict Diff = [7.0, 8.0, 4.0]

Label-Feature Diff = [23.0, 2.0, 5.0]
Label - Predict Diff = [7.0, 8.0, 4.0]

Label-Feature Diff = [25.0, 4.0, 3.0]
Label - Predict Diff = [8.0, 9.0, 6.0]

Label-Feature Diff = [28.0, 7.0, 0.0]
Label - Predict Diff = [10.0, 12.0, 9.0]

Label-Feature Diff = [31.0, 10.0, 3.0]
Label - Predict Diff = [13.0, 14.0, 12.0]

Label-Feature Diff = [15.0, 9.0, 15.0]
Label - Predict Diff = [3.0, 6.0, 8.0]

Label-Feature Diff = [12.0, 12.0, 18.0]
Label - Predict Diff = [6.0, 8.0, 11.0]

Label-Feature Diff = [10.0, 14.0, 20.0]
Label - Predict Diff = [8.0, 10.0, 14.0]

Label-Feature Diff = [9.0, 15.0, 21.0]
Label - Predict Diff = [9.0, 11.0, 15.0]

Label-Feature Diff = [8.0, 13.0, 20.0]
Label - Predict Diff = [8.0, 8.0, 12.0]

Label-Feature Diff = [4.0, 17.0, 24.0]
Label - Predict Diff = [12.0, 11.0, 16.0]

Label-Feature Diff = [3.0, 18.0, 25.0]
Label - Predict Diff = [12.0, 12.0, 17.0]

Label-Feature Diff = [17.0, 7.0, 13.0]
Label - Predict Diff = [2.0, 4.0, 5.0]

Label-Feature Diff = [13.0, 11.0, 17.0]
Label - Predict Diff = [5.0, 7.0, 10.0]

Label-Feature Diff = [9.0, 15.0, 21.0]
Label - Predict Diff = [9.0, 11.0, 15.0]

Label-Feature Diff = [6.0, 18.0, 24.0]
Label - Predict Diff = [12.0, 13.0, 18.0]

Label-Feature Diff = [8.0, 13.0, 20.0]
Label - Predict Diff = [8.0, 8.0, 12.0]

Label-Feature Diff = [5.0, 16.0, 23.0]
Label - Predict Diff = [11.0, 10.0, 16.0]

Label-Feature Diff = [4.0, 17.0, 24.0]
Label - Predict Diff = [12.0, 11.0, 16.0]

Label-Feature Diff = [13.0, 11.0, 17.0]
Label - Predict Diff = [5.0, 7.0, 10.0]

Label-Feature Diff = [10.0, 14.0, 20.0]
Label - Predict Diff = [8.0, 10.0, 14.0]

Label-Feature Diff = [7.0, 17.0, 23.0]
Label - Predict Diff = [11.0, 13.0, 17.0]

Label-Feature Diff = [6.0, 18.0, 24.0]
Label - Predict Diff = [12.0, 13.0, 18.0]

Label-Feature Diff = [8.0, 13.0, 20.0]
Label - Predict Diff = [8.0, 8.0, 12.0]

Label-Feature Diff = [6.0, 15.0, 22.0]
Label - Predict Diff = [10.0, 9.0, 14.0]

Label-Feature Diff = [6.0, 15.0, 22.0]
Label - Predict Diff = [10.0, 9.0, 14.0]

Label-Feature Diff = [6.0, 18.0, 24.0]
Label - Predict Diff = [12.0, 13.0, 18.0]

Label-Feature Diff = [6.0, 18.0, 24.0]
Label - Predict Diff = [12.0, 13.0, 18.0]

Label-Feature Diff = [7.0, 17.0, 23.0]
Label - Predict Diff = [11.0, 13.0, 17.0]

Label-Feature Diff = [7.0, 17.0, 23.0]
Label - Predict Diff = [11.0, 13.0, 17.0]

Label-Feature Diff = [7.0, 14.0, 21.0]
Label - Predict Diff = [9.0, 8.0, 13.0]

Label-Feature Diff = [7.0, 14.0, 21.0]
Label - Predict Diff = [9.0, 8.0, 13.0]

Label-Feature Diff = [7.0, 14.0, 21.0]
Label - Predict Diff = [9.0, 8.0, 13.0]

Label-Feature Diff = [4.0, 20.0, 26.0]
Label - Predict Diff = [13.0, 15.0, 19.0]

Label-Feature Diff = [5.0, 19.0, 25.0]
Label - Predict Diff = [12.0, 14.0, 19.0]

Label-Feature Diff = [7.0, 17.0, 23.0]
Label - Predict Diff = [11.0, 13.0, 17.0]

Label-Feature Diff = [9.0, 15.0, 21.0]
Label - Predict Diff = [9.0, 11.0, 15.0]

Label-Feature Diff = [6.0, 15.0, 22.0]
Label - Predict Diff = [10.0, 9.0, 14.0]

Label-Feature Diff = [7.0, 14.0, 21.0]
Label - Predict Diff = [9.0, 8.0, 13.0]

Label-Feature Diff = [9.0, 12.0, 19.0]
Label - Predict Diff = [7.0, 7.0, 11.0]

Label-Feature Diff = [9.0, 15.0, 21.0]
Label - Predict Diff = [9.0, 11.0, 15.0]

Label-Feature Diff = [8.0, 16.0, 22.0]
Label - Predict Diff = [10.0, 12.0, 16.0]

Label-Feature Diff = [9.0, 15.0, 21.0]
Label - Predict Diff = [9.0, 11.0, 15.0]

Label-Feature Diff = [9.0, 15.0, 21.0]
Label - Predict Diff = [9.0, 11.0, 15.0]

Label-Feature Diff = [5.0, 16.0, 23.0]
Label - Predict Diff = [11.0, 10.0, 16.0]

Label-Feature Diff = [8.0, 13.0, 20.0]
Label - Predict Diff = [8.0, 8.0, 12.0]

Label-Feature Diff = [11.0, 10.0, 17.0]
Label - Predict Diff = [5.0, 5.0, 9.0]

Label-Feature Diff = [15.0, 9.0, 15.0]
Label - Predict Diff = [3.0, 6.0, 8.0]

Label-Feature Diff = [13.0, 11.0, 17.0]
Label - Predict Diff = [5.0, 7.0, 10.0]

Label-Feature Diff = [10.0, 14.0, 20.0]
Label - Predict Diff = [8.0, 10.0, 14.0]

Label-Feature Diff = [8.0, 16.0, 22.0]
Label - Predict Diff = [10.0, 12.0, 16.0]

Label-Feature Diff = [5.0, 16.0, 23.0]
Label - Predict Diff = [11.0, 10.0, 16.0]

Label-Feature Diff = [8.0, 13.0, 20.0]
Label - Predict Diff = [8.0, 8.0, 12.0]

Label-Feature Diff = [12.0, 9.0, 16.0]
Label - Predict Diff = [4.0, 4.0, 8.0]

Label-Feature Diff = [5.0, 11.0, 9.0]
Label - Predict Diff = [9.0, 6.0, 6.0]

Label-Feature Diff = [5.0, 11.0, 9.0]
Label - Predict Diff = [9.0, 6.0, 6.0]

Label-Feature Diff = [5.0, 11.0, 9.0]
Label - Predict Diff = [9.0, 6.0, 6.0]

Label-Feature Diff = [5.0, 11.0, 9.0]
Label - Predict Diff = [9.0, 6.0, 6.0]

Label-Feature Diff = [5.0, 11.0, 9.0]
Label - Predict Diff = [9.0, 6.0, 6.0]

Label-Feature Diff = [5.0, 11.0, 9.0]
Label - Predict Diff = [9.0, 6.0, 6.0]

Label-Feature Diff = [5.0, 11.0, 9.0]
Label - Predict Diff = [9.0, 6.0, 6.0]

Label-Feature Diff = [7.0, 13.0, 11.0]
Label - Predict Diff = [11.0, 8.0, 8.0]

Label-Feature Diff = [7.0, 13.0, 11.0]
Label - Predict Diff = [11.0, 8.0, 8.0]

Label-Feature Diff = [6.0, 12.0, 10.0]
Label - Predict Diff = [10.0, 7.0, 7.0]

Label-Feature Diff = [6.0, 12.0, 10.0]
Label - Predict Diff = [10.0, 7.0, 7.0]

Label-Feature Diff = [6.0, 12.0, 10.0]
Label - Predict Diff = [10.0, 7.0, 7.0]

Label-Feature Diff = [5.0, 11.0, 9.0]
Label - Predict Diff = [9.0, 6.0, 6.0]

Label-Feature Diff = [5.0, 11.0, 9.0]
Label - Predict Diff = [9.0, 6.0, 6.0]

Label-Feature Diff = [8.0, 14.0, 12.0]
Label - Predict Diff = [12.0, 9.0, 10.0]

Label-Feature Diff = [8.0, 14.0, 12.0]
Label - Predict Diff = [12.0, 9.0, 10.0]

Label-Feature Diff = [7.0, 13.0, 11.0]
Label - Predict Diff = [11.0, 8.0, 8.0]

Label-Feature Diff = [6.0, 12.0, 10.0]
Label - Predict Diff = [10.0, 7.0, 7.0]

Label-Feature Diff = [5.0, 11.0, 9.0]
Label - Predict Diff = [9.0, 6.0, 6.0]

Label-Feature Diff = [5.0, 11.0, 9.0]
Label - Predict Diff = [9.0, 6.0, 6.0]

Label-Feature Diff = [4.0, 10.0, 8.0]
Label - Predict Diff = [8.0, 5.0, 5.0]

Label-Feature Diff = [6.0, 12.0, 10.0]
Label - Predict Diff = [10.0, 7.0, 7.0]

Label-Feature Diff = [6.0, 12.0, 10.0]
Label - Predict Diff = [10.0, 7.0, 7.0]

Label-Feature Diff = [5.0, 11.0, 9.0]
Label - Predict Diff = [9.0, 6.0, 6.0]

Label-Feature Diff = [4.0, 10.0, 8.0]
Label - Predict Diff = [8.0, 5.0, 5.0]

Label-Feature Diff = [3.0, 9.0, 7.0]
Label - Predict Diff = [7.0, 4.0, 4.0]

Label-Feature Diff = [2.0, 8.0, 6.0]
Label - Predict Diff = [6.0, 3.0, 3.0]

Label-Feature Diff = [2.0, 8.0, 6.0]
Label - Predict Diff = [6.0, 3.0, 3.0]

Label-Feature Diff = [2.0, 8.0, 6.0]
Label - Predict Diff = [6.0, 3.0, 3.0]

Label-Feature Diff = [2.0, 8.0, 6.0]
Label - Predict Diff = [6.0, 3.0, 3.0]

Label-Feature Diff = [1.0, 7.0, 5.0]
Label - Predict Diff = [6.0, 2.0, 3.0]

Label-Feature Diff = [0.0, 6.0, 4.0]
Label - Predict Diff = [5.0, 2.0, 2.0]

Label-Feature Diff = [0.0, 6.0, 4.0]
Label - Predict Diff = [5.0, 2.0, 2.0]

Label-Feature Diff = [1.0, 5.0, 3.0]
Label - Predict Diff = [4.0, 1.0, 1.0]

Label-Feature Diff = [1.0, 5.0, 3.0]
Label - Predict Diff = [4.0, 1.0, 1.0]

Label-Feature Diff = [2.0, 4.0, 2.0]
Label - Predict Diff = [4.0, 0.0, 0.0]

Label-Feature Diff = [2.0, 4.0, 2.0]
Label - Predict Diff = [4.0, 0.0, 0.0]

Label-Feature Diff = [2.0, 4.0, 2.0]
Label - Predict Diff = [4.0, 0.0, 0.0]

Label-Feature Diff = [2.0, 4.0, 2.0]
Label - Predict Diff = [4.0, 0.0, 0.0]

Label-Feature Diff = [2.0, 4.0, 2.0]
Label - Predict Diff = [4.0, 0.0, 0.0]

Label-Feature Diff = [1.0, 5.0, 3.0]
Label - Predict Diff = [4.0, 1.0, 1.0]

Label-Feature Diff = [1.0, 5.0, 3.0]
Label - Predict Diff = [4.0, 1.0, 1.0]

Label-Feature Diff = [4.0, 2.0, 0.0]
Label - Predict Diff = [2.0, 1.0, 1.0]

Label-Feature Diff = [3.0, 3.0, 1.0]
Label - Predict Diff = [3.0, 0.0, 1.0]

Label-Feature Diff = [2.0, 4.0, 2.0]
Label - Predict Diff = [4.0, 0.0, 0.0]

Label-Feature Diff = [1.0, 5.0, 3.0]
Label - Predict Diff = [4.0, 1.0, 1.0]

Label-Feature Diff = [0.0, 6.0, 4.0]
Label - Predict Diff = [5.0, 2.0, 2.0]

Label-Feature Diff = [1.0, 7.0, 5.0]
Label - Predict Diff = [6.0, 2.0, 3.0]

Label-Feature Diff = [1.0, 7.0, 5.0]
Label - Predict Diff = [6.0, 2.0, 3.0]

Label-Feature Diff = [12.0, 21.0, 18.0]
Label - Predict Diff = [17.0, 17.0, 16.0]

Label-Feature Diff = [10.0, 19.0, 16.0]
Label - Predict Diff = [14.0, 14.0, 14.0]

